Title,Description,URL,Sentiment
Finding the Higgs: ‘Incredible’ moment in science,Cern physicist Dr Andre David describes the moment scientists found the ‘God particle’,https://www.bbc.co.uk/news/stories-61998895?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Oscars 2023: RRR's Naatu Naatu wins best original song,The song Naatu Naatu from the Telugu-language movie is the first Indian film song to win an Oscar.,https://www.bbc.co.uk/news/world-asia-india-64935389?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Portugal 0-1 Spain: Alvaro Morata late winner takes Spain through to Nations League Finals,Alvaro Morata scores an 88th-minute winning goal as Spain beat Portugal in Braga to qualify for the Nations League finals.,https://www.bbc.co.uk/sport/football/63055055?at_medium=RSS&at_campaign=KARANGA,POSITIVE
MOTD2 analysis: How 'outstanding' Arsenal overcame 'difficult' Man Utd test,Match of the Day 2's Mark Chapman and Martin Keown analyse Arsenal's 'outstanding' 3-2 Premier League victory over Manchester United.,https://www.bbc.co.uk/sport/av/football/64368906?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Cromer Boxing Day dip makes return after two-year break,Hundreds brave the North Sea as the Cromer dip makes a welcome comeback.,https://www.bbc.co.uk/news/uk-england-norfolk-64098019?at_medium=RSS&at_campaign=KARANGA,POSITIVE
'I found my dream job in retirement - marrying people',Former teacher Amanda Wheal explains how she reinvented herself as a wedding celebrant.,https://www.bbc.co.uk/news/business-61520904?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Platinum Party at the Palace: The Royals were the real stars of the Jubilee concert,"Alicia Keys, Diana Ross and Sam Ryder took to the stage, but the Royal Family were the real stars.",https://www.bbc.co.uk/news/entertainment-arts-61689413?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Commonwealth Games 2022: England's Alex Yee wins first gold,Watch England's Alex Yee win the first gold medal of the 2022 Commonwealth Games in dramatic style as New Zealand's Hayden Wilde is given a 10-second penalty.,https://www.bbc.co.uk/sport/av/commonwealth-games/62349499?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Mercury Prize: Rapper Little Simz wins album of the year award,Her fourth album wins the prestigious award for best British or Irish record of the past 12 months.,https://www.bbc.co.uk/news/entertainment-arts-63296907?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Shauna Coxsey: British Olympian defends climbing while pregnant,Britain's most decorated elite climber Shauna Coxsey defends her decision to continue the sport while pregnant.,https://www.bbc.co.uk/sport/sport-climbing/61296364?at_medium=RSS&at_campaign=KARANGA,POSITIVE
England open up lead in second West Indies Test,England give themselves a slim chance of victory over West Indies in the second Test in Barbados by taking a lead of 136 into the final day.,https://www.bbc.co.uk/sport/cricket/60807926?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Music star Angélique Kidjo says the Grammys 'need diversity',"""We are working on it,"" says the star, who sits on the awards' board of trustees.",https://www.bbc.co.uk/news/entertainment-arts-65098358?at_medium=RSS&at_campaign=KARANGA,POSITIVE
Exercise is good for joints with wear-and-tear arthritis,"It may hurt, but exercise is beneficial for joints, experts say in guidance for doctors and patients.",https://www.bbc.co.uk/news/health-61255733?at_medium=RSS&at_campaign=KARANGA,POSITIVE
